date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:33	43005/43005	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2012:50:46%20GMT	https://html.kodesolution.com/2023/amiso-html/index.html	C:/My%20Web%20Sites/Amisho/html.kodesolution.com/2023/amiso-html/index.html	(from )
16:55:33	718/718	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20Aug%202024%2011:25:33%20GMT	https://html.kodesolution.com/robots.txt		(from )
16:55:34	155845/155845	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:06:40%20GMT	https://html.kodesolution.com/2023/amiso-html/css/bootstrap.min.css	C:/My%20Web%20Sites/Amisho/html.kodesolution.com/2023/amiso-html/css/bootstrap.min.css	(from https://html.kodesolution.com/2023/amiso-html/index.html)
16:55:34	29698/29698	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:06:40%20GMT	https://html.kodesolution.com/2023/amiso-html/plugins/revolution/css/settings.css	C:/My%20Web%20Sites/Amisho/html.kodesolution.com/2023/amiso-html/plugins/revolution/css/settings.css	(from https://html.kodesolution.com/2023/amiso-html/index.html)
16:55:34	104497/104497	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:06:40%20GMT	https://html.kodesolution.com/2023/amiso-html/plugins/revolution/css/layers.css	C:/My%20Web%20Sites/Amisho/html.kodesolution.com/2023/amiso-html/plugins/revolution/css/layers.css	(from https://html.kodesolution.com/2023/amiso-html/index.html)
16:55:34	44435/44435	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:06:40%20GMT	https://html.kodesolution.com/2023/amiso-html/plugins/revolution/css/navigation.css	C:/My%20Web%20Sites/Amisho/html.kodesolution.com/2023/amiso-html/plugins/revolution/css/navigation.css	(from https://html.kodesolution.com/2023/amiso-html/index.html)
16:55:35	222230/222230	---MCZ	200	added ('OK')	text/css	date:Tue,%2016%20Jan%202024%2012:51:26%20GMT	https://html.kodesolution.com/2023/amiso-html/css/style.css	C:/My%20Web%20Sites/Amisho/html.kodesolution.com/2023/amiso-html/css/style.css	(from https://html.kodesolution.com/2023/amiso-html/index.html)
16:55:35	16596/16596	---MCZ	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:06:40%20GMT	https://html.kodesolution.com/2023/amiso-html/css/responsive.css	C:/My%20Web%20Sites/Amisho/html.kodesolution.com/2023/amiso-html/css/responsive.css	(from https://html.kodesolution.com/2023/amiso-html/index.html)
16:55:35	729/729	---M--	200	added ('OK')	image/png	date:Sun,%2018%20Feb%202024%2011:38:49%20GMT	https://html.kodesolution.com/2023/amiso-html/images/favicon.png	C:/My%20Web%20Sites/Amisho/html.kodesolution.com/2023/amiso-html/images/favicon.png	(from https://html.kodesolution.com/2023/amiso-html/index.html)
16:55:35	38536/38536	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266bb76fd-9688%22	https://ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	C:/My%20Web%20Sites/Amisho/ajax.cloudflare.com/cdn-cgi/scripts/04b3eb47/cloudflare-static/mirage2.min.js	(from https://html.kodesolution.com/2023/amiso-html/index.html)
